lam,wall_time(s)
0.25,99.416800
0.25,99.474600
0.25,100.018000
0.25,100.044000
0.25,100.185000
0.25,100.226000
0.25,100.271000
0.25,100.328000
0.25,100.330000
0.25,100.352000
0.25,100.364000
0.25,100.442000
0.25,100.861000
0.25,100.906000
0.25,101.034000
0.25,101.038000
0.25,101.143000
0.25,101.229000
0.25,101.280000
0.25,101.800000
0.25,101.882000
0.25,102.058000
0.25,102.088000
0.25,102.141000
0.25,103.567000
0.25,103.848000
0.25,104.017000
0.25,104.461000
0.25,104.524000
0.25,104.534000
0.25,104.915000
0.25,105.043000
0.25,105.217000
0.25,105.450000
0.25,105.609000
0.25,106.446000
0.25,106.631000
0.25,106.708000
0.25,106.930000
0.25,107.086000
0.25,107.487000
0.25,107.946000
0.25,108.043000
0.25,108.595000
0.25,108.648000
0.25,109.003000
0.3,109.963000
0.3,110.141000
0.3,112.158000
0.3,112.160000
0.3,112.183000
0.3,112.316000
0.3,112.334000
0.3,112.595000
0.3,112.756000
0.3,112.806000
0.3,113.042000
0.3,113.167000
0.3,113.220000
0.3,113.407000
0.3,113.410000
0.3,113.453000
0.3,113.464000
0.3,113.591000
0.3,113.714000
0.3,113.722000
0.3,113.760000
0.3,113.772000
0.3,113.874000
0.3,113.885000
0.3,113.894000
0.3,113.952000
0.3,113.975000
0.3,114.057000
0.3,114.172000
0.3,114.172000
0.3,114.202000
0.3,114.314000
0.3,114.333000
0.3,114.347000
0.3,114.358000
0.3,114.367000
0.3,114.381000
0.3,114.393000
0.3,114.461000
0.3,114.699000
0.3,114.723000
0.3,114.760000
0.3,114.878000
0.3,114.890000
0.3,114.902000
0.3,114.904000
0.3,114.982000
0.3,115.006000
0.3,115.030000
0.3,115.048000
0.3,115.102000
0.3,115.126000
0.3,115.179000
0.3,115.184000
0.3,115.343000
0.3,115.376000
0.3,115.416000
0.3,115.477000
0.3,115.543000
0.3,115.624000
0.3,115.681000
0.3,115.682000
0.3,115.713000
0.3,115.898000
0.3,115.916000
0.3,115.971000
0.3,115.981000
0.3,116.080000
0.3,116.144000
0.3,116.248000
0.3,116.607000
0.3,116.639000
0.3,116.820000
0.3,117.015000
0.3,117.026000
0.3,117.063000
0.3,117.098000
0.3,117.100000
0.3,117.191000
0.3,117.726000
0.3,118.036000
0.3,118.504000
0.3,118.652000
0.3,119.441000
0.3,119.600000
0.3,119.721000
0.3,119.840000
0.3,150.674000
0.3,152.293000
0.3,154.322000
0.3,154.885000
0.3,155.029000
0.3,156.336000
0.3,157.569000
0.3,157.791000
0.3,157.927000
0.3,158.216000
0.3,159.249000
0.3,160.653000
0.3,183.739000
0.35,121.005000
0.35,156.826000
0.35,165.430000
0.35,165.657000
0.35,165.921000
0.35,167.717000
0.35,170.103000
0.35,170.146000
0.35,170.178000
0.35,170.237000
0.35,170.303000
0.35,170.367000
0.35,172.476000
0.35,179.286000
0.35,180.170000
0.35,180.777000
0.35,181.399000
0.35,183.261000
0.35,184.675000
0.35,184.924000
0.35,185.277000
0.35,185.325000
0.35,185.349000
0.35,185.406000
0.35,185.408000
0.35,185.435000
0.35,185.561000
0.35,185.570000
0.35,185.665000
0.35,185.705000
0.35,185.725000
0.35,185.779000
0.35,185.805000
0.35,185.816000
0.35,185.832000
0.35,185.836000
0.35,185.838000
0.35,185.892000
0.35,185.894000
0.35,185.901000
0.35,185.911000
0.35,186.012000
0.35,186.083000
0.35,186.162000
0.35,186.197000
0.35,186.206000
0.35,186.229000
0.35,186.275000
0.35,186.285000
0.35,186.313000
0.35,186.353000
0.35,186.372000
0.35,186.378000
0.35,186.379000
0.35,186.388000
0.35,186.403000
0.35,186.420000
0.35,186.422000
0.35,186.443000
0.35,186.470000
0.35,186.472000
0.35,186.478000
0.35,186.487000
0.35,186.601000
0.35,186.614000
0.35,186.620000
0.35,186.624000
0.35,186.634000
0.35,186.661000
0.35,186.699000
0.35,186.738000
0.35,186.755000
0.35,186.776000
0.35,186.780000
0.35,186.837000
0.35,186.893000
0.35,186.894000
0.35,186.899000
0.35,186.945000
0.35,186.964000
0.35,186.968000
0.35,186.999000
0.35,187.055000
0.35,187.060000
0.35,187.086000
0.35,187.088000
0.35,187.125000
0.35,187.138000
0.35,187.177000
0.35,187.178000
0.35,187.198000
0.35,187.211000
0.35,187.270000
0.35,187.271000
0.35,187.271000
0.35,187.294000
0.35,187.765000
0.35,187.866000
0.35,187.911000
0.35,188.999000
0.4,141.718000
0.4,141.822000
0.4,158.417000
0.4,158.611000
0.4,158.933000
0.4,159.031000
0.4,159.115000
0.4,159.354000
0.4,159.417000
0.4,159.420000
0.4,159.532000
0.4,159.554000
0.4,159.563000
0.4,159.607000
0.4,159.652000
0.4,159.696000
0.4,159.702000
0.4,159.709000
0.4,159.721000
0.4,159.750000
0.4,159.756000
0.4,159.780000
0.4,159.786000
0.4,159.791000
0.4,159.806000
0.4,159.833000
0.4,159.862000
0.4,159.869000
0.4,159.881000
0.4,159.888000
0.4,159.896000
0.4,159.901000
0.4,159.909000
0.4,159.909000
0.4,159.911000
0.4,159.930000
0.4,159.936000
0.4,159.959000
0.4,159.988000
0.4,159.998000
0.4,160.003000
0.4,160.026000
0.4,160.031000
0.4,160.031000
0.4,160.058000
0.4,160.076000
0.4,160.095000
0.4,160.116000
0.4,160.134000
0.4,160.150000
0.4,160.163000
0.4,160.176000
0.4,160.177000
0.4,160.209000
0.4,160.222000
0.4,160.232000
0.4,160.233000
0.4,160.260000
0.4,160.263000
0.4,160.279000
0.4,160.356000
0.4,160.361000
0.4,160.390000
0.4,160.414000
0.4,160.426000
0.4,160.624000
0.4,160.803000
0.4,161.096000
0.4,161.979000
0.4,162.068000
0.4,162.096000
0.4,162.106000
0.4,162.124000
0.4,162.201000
0.4,162.227000
0.4,162.233000
0.4,162.369000
0.4,162.474000
0.4,162.485000
0.4,162.698000
0.4,162.784000
0.4,162.791000
0.4,162.893000
0.4,162.907000
0.4,162.976000
0.4,163.029000
0.4,163.071000
0.4,163.178000
0.4,163.275000
0.4,163.297000
0.4,164.351000
0.4,164.605000
0.4,165.293000
0.4,165.475000
0.4,165.719000
0.4,166.684000
0.4,166.859000
0.4,167.032000
0.4,167.430000
0.4,167.534000
0.44999999999999996,164.980000
0.44999999999999996,165.017000
0.44999999999999996,165.492000
0.44999999999999996,166.260000
0.44999999999999996,166.767000
0.44999999999999996,166.989000
0.44999999999999996,167.469000
0.44999999999999996,167.671000
0.44999999999999996,168.149000
0.44999999999999996,170.678000
0.44999999999999996,186.510000
0.44999999999999996,186.620000
0.44999999999999996,186.735000
0.44999999999999996,186.748000
0.44999999999999996,186.776000
0.44999999999999996,186.778000
0.44999999999999996,186.901000
0.44999999999999996,186.953000
0.44999999999999996,186.961000
0.44999999999999996,186.994000
0.44999999999999996,186.995000
0.44999999999999996,187.033000
0.44999999999999996,187.068000
0.44999999999999996,187.133000
0.44999999999999996,187.146000
0.44999999999999996,187.208000
0.44999999999999996,187.222000
0.44999999999999996,187.246000
0.44999999999999996,187.248000
0.44999999999999996,187.281000
0.44999999999999996,187.293000
0.44999999999999996,187.298000
0.44999999999999996,187.317000
0.44999999999999996,187.341000
0.44999999999999996,187.424000
0.44999999999999996,187.428000
0.44999999999999996,187.523000
0.44999999999999996,187.677000
0.44999999999999996,187.696000
0.44999999999999996,187.732000
0.44999999999999996,187.755000
0.44999999999999996,187.775000
0.44999999999999996,187.824000
0.44999999999999996,187.914000
0.44999999999999996,187.920000
0.44999999999999996,187.972000
0.44999999999999996,187.986000
0.44999999999999996,188.121000
0.44999999999999996,188.358000
0.44999999999999996,188.383000
0.44999999999999996,188.432000
0.44999999999999996,188.494000
0.44999999999999996,188.520000
0.44999999999999996,188.578000
0.44999999999999996,188.593000
0.44999999999999996,188.650000
0.44999999999999996,188.732000
0.44999999999999996,188.807000
0.44999999999999996,188.909000
0.44999999999999996,188.936000
0.44999999999999996,189.031000
