L,type,beta,wall_time_s
10,ES,1.3333333333333333,2226.1045
10,ES,1.3333333333333333,2256.4991
10,ES,1.3333333333333333,2249.2072
10,ES,1.3333333333333333,2259.702
10,ES,1.3333333333333333,2215.7728
10,ES,1.3333333333333333,2275.1571
10,ES,1.3333333333333333,2226.8343
10,ES,1.3333333333333333,2278.4474
10,ES,1.3333333333333333,2266.488
10,ES,1.3333333333333333,2253.9727
10,ES,1.3333333333333333,2245.2755
10,ES,1.3333333333333333,2287.4527
10,ES,1.3333333333333333,2207.0513
10,ES,1.3333333333333333,2284.5275
10,ES,1.3333333333333333,2233.103
10,ES,1.3333333333333333,2266.2382
10,ES,1.3333333333333333,2254.9035
10,ES,1.3333333333333333,2252.2389
10,ES,1.3793103448275863,2339.1459
10,ES,1.3793103448275863,2533.252
10,ES,1.3793103448275863,2381.3291
10,ES,1.3793103448275863,2501.3559
10,ES,1.3793103448275863,2388.7541
10,ES,1.3793103448275863,2507.4281
10,ES,1.3793103448275863,2394.8301
10,ES,1.3793103448275863,2505.8681
10,ES,1.3793103448275863,2383.8576
10,ES,1.3793103448275863,2520.8049
10,ES,1.3793103448275863,2380.1153
10,ES,1.3793103448275863,2509.9782
10,ES,1.3793103448275863,2388.5751
10,ES,1.3793103448275863,2520.3962
10,ES,1.3793103448275863,2506.7158
10,ES,1.3793103448275863,2522.3253
10,ES,1.3793103448275863,2374.4076
10,ES,1.3793103448275863,2362.7068
10,ES,1.3793103448275863,2345.3515
10,ES,1.3793103448275863,2331.845
10,ES,1.4285714285714286,2463.8548
10,ES,1.4285714285714286,2509.2748
10,ES,1.4285714285714286,2515.3673
10,ES,1.4285714285714286,2536.7663
10,ES,1.4285714285714286,2486.9736
10,ES,1.4285714285714286,2501.8147
10,ES,1.4285714285714286,2492.7952
10,ES,1.4285714285714286,2524.4796
10,ES,1.4285714285714286,2493.6448
10,ES,1.4285714285714286,2503.7006
10,ES,1.4285714285714286,2510.2909
10,ES,1.4285714285714286,2509.7857
10,ES,1.4285714285714286,2512.5399
10,ES,1.4285714285714286,2517.2747
10,ES,1.4285714285714286,2491.311
10,ES,1.4285714285714286,2510.7747
10,ES,1.4285714285714286,2455.7753
10,ES,1.4285714285714286,2502.5783
10,ES,1.4285714285714286,2500.0432
10,ES,1.4285714285714286,2561.5637
10,ES,1.4814814814814814,2669.7721
10,ES,1.4814814814814814,2646.0195
10,ES,1.4814814814814814,2619.2208
10,ES,1.4814814814814814,2633.0846
10,ES,1.4814814814814814,2604.7785
10,ES,1.4814814814814814,2628.1172
10,ES,1.4814814814814814,2624.4991
10,ES,1.4814814814814814,2617.6272
10,ES,1.4814814814814814,2624.7171
10,ES,1.4814814814814814,2611.0583
10,ES,1.4814814814814814,2568.8587
10,ES,1.4814814814814814,2618.5536
10,ES,1.4814814814814814,2672.937
10,ES,1.4814814814814814,2560.445
10,ES,1.4814814814814814,2670.379
10,ES,1.4814814814814814,2647.0529
10,ES,1.4814814814814814,2727.9139
10,ES,1.4814814814814814,2628.9351
10,ES,1.4814814814814814,2680.5896
10,ES,1.4814814814814814,2646.309
10,ES,1.5384615384615383,2793.7575
10,ES,1.5384615384615383,2798.0591
10,ES,1.5384615384615383,2777.599
10,ES,1.5384615384615383,2787.8785
10,ES,1.5384615384615383,2778.2765
10,ES,1.5384615384615383,2802.184
10,ES,1.5384615384615383,2729.0037
10,ES,1.5384615384615383,2771.4986
10,ES,1.5384615384615383,2735.1411
10,ES,1.5384615384615383,2811.0248
10,ES,1.5384615384615383,2754.8391
10,ES,1.5384615384615383,2816.2054
10,ES,1.5384615384615383,2808.4275
10,ES,1.5384615384615383,2788.9706
10,ES,1.5384615384615383,2747.7368
10,ES,1.5384615384615383,2773.7711
10,ES,1.5384615384615383,2787.568
10,ES,1.5384615384615383,2821.2856
10,ES,1.5384615384615383,2774.5053
10,ES,1.5384615384615383,2859.9091
10,FS,1.176470588235294,1850.7523
10,FS,1.176470588235294,1908.8398
10,FS,1.176470588235294,1856.9912
10,FS,1.176470588235294,1934.6442
10,FS,1.176470588235294,1868.4105
10,FS,1.176470588235294,1860.8497
10,FS,1.176470588235294,1830.6158
10,FS,1.176470588235294,1911.3897
10,FS,1.176470588235294,1887.6306
10,FS,1.176470588235294,1902.7987
10,FS,1.176470588235294,1884.2607
10,FS,1.176470588235294,1853.9792
10,FS,1.176470588235294,1827.7857
10,FS,1.176470588235294,1836.0925
10,FS,1.176470588235294,1835.8515
