beta,Tsteps,steps,n_mpi_processes,stepsPerMeasurement,total_updates,total_mean_q,total_max_q,total_mean_sign,total_std_sign,total_mean_A,total_std_A,total_mean_A2,total_std_A2,total_mean_A_tau_A,total_std_A_tau_A,total_mean_A_Eint,total_std_A_Eint,total_mean_A_Fint,total_std_A_Fint,therm_pass_A,therm_pass_A2,therm_pass_A_tau_A,therm_pass_A_Eint,therm_pass_A_Fint,total_elapsed_cpu_time,wall_clock_time,elapsed_time_rank0,elapsed_time_rank1,elapsed_time_rank2,elapsed_time_rank3,elapsed_time_rank4,elapsed_time_rank5
14.7204,100000,1000000,6,10,6000000,1.86842,12.0,1.0,0.0,-0.121079041,0.00322215068,2.62066351,0.0528037932,0.823480077,0.00227623295,14.6330143,0.0804099982,23.2416777,0.0605754709,1,1,1,1,1,70.404405,12.345016,11.6477,11.69,11.6029,11.6593,11.4636,12.341
15.1265,100000,1000000,6,10,6000000,1.93735667,12.0,1.0,0.0,-0.125475683,0.00325523462,2.67167077,0.0509965159,0.801550404,0.00238833591,14.6252913,0.0761443893,23.9206515,0.0650829198,1,1,1,1,1,77.770638,15.704428,12.0309,12.254,12.1289,13.4657,12.1905,15.7006
15.5327,100000,1000000,6,10,6000000,2.00819667,12.0,1.0,0.0,-0.129727864,0.00336337942,2.74128094,0.05449745,0.783854428,0.00265390904,14.9168911,0.0782907997,24.7188187,0.076587072,1,1,0,1,0,86.504812,16.712802,16.7087,13.1781,14.5399,13.0653,13.3027,15.7101
15.9388,100000,1000000,6,10,6000000,2.07596333,12.0,1.0,0.0,-0.128114891,0.00347807992,2.63919017,0.0501381806,0.766791895,0.00367442972,15.0036267,0.088999778,25.5109649,0.112757106,1,1,1,1,1,92.320786,18.410116,14.5097,16.7357,13.6009,13.4635,18.4061,15.6049
16.3449,100000,1000000,6,10,6000000,2.13969,14.0,1.0,0.0,-0.128914288,0.00331195868,2.65503939,0.0468655223,0.751333952,0.00407803371,15.1511094,0.0937615271,26.321132,0.129546651,1,1,1,1,1,95.596099,18.010344,17.975,14.0012,17.3555,18.0064,14.1341,14.1239
16.751,100000,1000000,6,10,6000000,2.21022667,12.0,1.0,0.0,-0.128776639,0.00334828274,2.72916027,0.049116062,0.727491125,0.00231643836,15.165434,0.0799469499,26.8549617,0.0776484635,1,1,1,1,1,98.473871,17.407028,17.1877,17.4031,16.5908,15.7823,14.6975,16.8124
17.1571,100000,1000000,6,10,6000000,2.27616333,12.0,1.0,0.0,-0.130700492,0.00327939407,2.64558857,0.0490757795,0.707688286,0.0022327653,15.1822093,0.0774394454,27.4750639,0.0797316237,1,1,1,1,1,123.958585,22.058393,21.6966,22.0545,21.1201,21.9078,15.811,21.3686
17.5633,100000,1000000,6,10,6000000,2.34451333,14.0,1.0,0.0,-0.13266996,0.00346910559,2.69995725,0.0462157793,0.699603062,0.00402114737,15.4875726,0.102328733,28.4842124,0.147464942,1,1,1,1,1,123.754782,21.618667,20.9342,20.7215,21.6145,19.8749,19.2827,21.3269
17.9694,100000,1000000,6,10,6000000,2.41428667,12.0,1.0,0.0,-0.138762657,0.0032529958,2.68687507,0.051361767,0.677669292,0.00296618448,15.5430072,0.0877287165,28.9671381,0.114127375,0,1,1,0,1,128.930323,22.826148,19.8818,19.1872,22.6534,21.7276,22.8221,22.6581
18.3755,100000,1000000,6,10,6000000,2.47888667,14.0,1.0,0.0,-0.136887685,0.00307680585,2.67831837,0.055770234,0.662385483,0.00229268142,15.6212376,0.0770380451,29.6732772,0.0925686891,1,1,1,1,1,134.067806,23.865945,20.5255,23.4182,23.0542,23.862,20.8726,22.3354
18.7816,100000,1000000,6,10,6000000,2.54532333,12.0,1.0,0.0,-0.139057207,0.00338593551,2.67354317,0.0456340488,0.64477084,0.0021762679,15.7768096,0.0845414585,30.2489281,0.0931752538,1,1,0,1,0,145.26437,24.953521,24.7996,24.6439,24.4706,23.2442,24.9496,23.1564
19.1878,100000,1000000,6,10,6000000,2.62185333,14.0,1.0,0.0,-0.14204578,0.00312453391,2.71952268,0.0442920535,0.627166487,0.00229441214,15.7644001,0.0812776222,30.8054372,0.101061134,1,1,1,1,1,153.027613,26.129628,24.3331,25.5075,25.9939,25.2797,25.7879,26.1256
19.5939,100000,1000000,6,10,6000000,2.68259333,14.0,1.0,0.0,-0.137165413,0.00311300763,2.64388239,0.043337781,0.612057046,0.00212871659,15.7483061,0.0787030322,31.4252185,0.0982284078,1,1,1,1,1,154.553755,26.963917,25.6743,25.3022,26.9598,23.8298,26.5399,26.2477
2.13061,100000,1000000,6,10,6000000,0.0667033333,6.0,1.0,0.0,-0.0262375959,0.00446722703,2.58822327,0.2180401,1.54679735,0.015801963,3.88069537,0.163329267,0.907117942,0.0142166651,1,1,1,1,1,5.539478,0.949127,0.935162,0.914186,0.944579,0.91273,0.920494,0.912327
2.53674,100000,1000000,6,10,6000000,0.0923066667,6.0,1.0,0.0,-0.0173549,0.00295541167,2.48927817,0.167241003,1.49877996,0.00863629071,4.07590272,0.0652509643,1.23994978,0.011928371,1,1,1,1,1,5.894419,0.999461,0.977144,0.98659,0.982848,0.971227,0.995208,0.981402
2.94286,100000,1000000,6,10,6000000,0.121723333,6.0,1.0,0.0,-0.0271174163,0.00366426756,2.45902757,0.154169945,1.4753986,0.00723861755,4.81793972,0.0864475109,1.638477,0.0130209639,1,1,1,1,1,6.423422,1.176039,1.17171,1.05235,1.05096,1.05264,1.04369,1.05208
20.0,100000,1000000,6,10,6000000,2.74676,14.0,1.0,0.0,-0.143516628,0.00330968801,2.67169438,0.040918059,0.603102907,0.00300646748,15.95858,0.0894871896,32.3231303,0.14624029,1,1,1,1,1,161.113178,28.36978,28.3658,27.6334,27.8493,25.5597,27.0385,24.6666
3.34898,100000,1000000,6,10,6000000,0.15563,6.0,1.0,0.0,-0.0286152809,0.00396093952,2.33847669,0.0986630583,1.44458214,0.00366506519,5.35387198,0.0870973746,2.06877714,0.00833662241,1,1,1,1,1,7.149046,1.257092,1.19072,1.23629,1.25238,1.1201,1.22637,1.12319
3.7551,100000,1000000,6,10,6000000,0.191956667,6.0,1.0,0.0,-0.0348654599,0.00339664927,2.32226503,0.104692001,1.44426297,0.0155684269,5.92754293,0.0833835374,2.59308925,0.0281463511,1,1,0,1,0,7.637476,1.347858,1.21708,1.24457,1.34126,1.34338,1.20618,1.28501
4.16122,100000,1000000,6,10,6000000,0.23288,6.0,1.0,0.0,-0.0352175274,0.00338946973,2.61808304,0.173031665,1.41771225,0.00469095001,6.4670346,0.0690496189,3.13692221,0.0156918032,1,1,1,1,1,8.719431,1.48026,1.46975,1.47558,1.40436,1.44196,1.46631,1.46147
4.56735,100000,1000000,6,10,6000000,0.276,6.0,1.0,0.0,-0.0401922579,0.00344245152,2.46641302,0.108226043,1.38961395,0.00412517022,6.99176551,0.084509191,3.69150426,0.013965779,1,1,1,1,1,9.383049,1.583625,1.55326,1.56894,1.56347,1.57917,1.56544,1.55278
4.97347,100000,1000000,6,10,6000000,0.321626667,6.0,1.0,0.0,-0.0378609955,0.0031182639,2.35915021,0.0658828238,1.37336817,0.00371737051,7.34396428,0.0418558339,4.31565787,0.0120020955,1,1,1,1,1,10.083256,1.710307,1.66616,1.66878,1.67758,1.68499,1.70589,1.67986
5.37959,100000,1000000,6,10,6000000,0.372236667,8.0,1.0,0.0,-0.0472884452,0.0029903973,2.42397813,0.0699450381,1.35736926,0.00334251441,7.9721561,0.0460524723,4.99128159,0.0135366243,1,0,0,1,0,11.176249,1.915928,1.91147,1.82834,1.84577,1.87374,1.8773,1.83962
