filename,kind,beta,Tsteps,steps,stepsPerMeasurement,Nbins,nprocs,rank0_time_s,rank1_time_s,rank2_time_s,rank3_time_s,rank4_time_s,rank5_time_s,rank6_time_s,rank7_time_s,rank8_time_s,rank9_time_s,rank10_time_s,rank11_time_s,rank12_time_s,rank13_time_s,rank14_time_s,rank15_time_s,rank16_time_s,rank17_time_s,rank18_time_s,rank19_time_s,rank20_time_s,rank21_time_s,rank22_time_s,rank23_time_s,rank24_time_s,rank25_time_s,rank26_time_s,rank27_time_s,rank28_time_s,rank29_time_s,rank30_time_s,rank31_time_s,rank32_time_s,rank33_time_s,rank34_time_s,rank35_time_s,rank36_time_s,rank37_time_s,rank38_time_s,rank39_time_s,rank40_time_s,rank41_time_s,rank42_time_s,rank43_time_s,rank44_time_s,rank45_time_s,rank46_time_s,rank47_time_s,rank48_time_s,rank49_time_s,total_mean_q,total_max_q,total_mean_sgnW,total_std_sgnW,wall_clock_seconds,total_elapsed_cpu_seconds
tfim_nomeas_beta_0.75517241.out,nomeas,0.755172,1000000,10000000,1000,100,50,38.7427,38.5672,38.8307,38.7507,38.8663,38.4956,38.7998,38.6917,38.7263,38.759,38.8682,38.665,38.6994,38.57,38.8514,38.7684,38.6467,38.5597,38.7222,38.7445,38.7732,38.7244,38.8275,38.7614,38.7564,38.6101,38.6223,38.8503,38.7371,38.6551,38.7748,38.7878,38.8626,38.8684,38.8148,38.7585,38.8446,38.7315,38.6985,38.8377,35.2788,33.5346,35.2625,33.4188,35.2841,33.6493,35.3558,33.6869,35.1944,33.5769,4.509468,26.0,1.0,0.0,38.8703326,1893.86489
tfim_nomeas_beta_0.82068966.out,nomeas,0.82069,1000000,10000000,1000,100,50,42.1676,41.861,42.1828,41.9477,42.0972,42.0392,41.8958,41.9876,42.0944,42.0245,42.2051,42.0424,42.1837,42.0169,41.9303,41.9977,42.0047,41.9367,42.052,42.0882,42.1653,41.8996,42.1413,42.0714,41.9633,41.959,42.0096,42.2195,41.9392,42.0484,42.0536,42.1684,41.9203,41.9686,41.9739,42.0942,41.9784,41.9089,42.0689,42.1518,38.3192,36.5224,38.1476,36.4149,38.3328,36.6884,38.0742,36.3583,38.2761,36.4172,4.879968,24.0,1.0,0.0,42.2210565,2055.01026
tfim_nomeas_beta_0.8862069.out,nomeas,0.886207,1000000,10000000,1000,100,50,45.4138,45.3836,45.3598,45.2876,45.424,69.1989,45.5495,45.3943,45.2911,45.3902,45.6475,45.7169,45.3749,45.2956,45.5224,45.5034,45.5889,45.2446,45.253,45.5846,45.4121,45.4583,45.6095,45.4551,45.3335,45.0157,45.3661,45.7866,45.4277,45.3647,45.5611,45.5274,45.571,45.5555,45.5756,45.4098,45.4201,45.4556,45.424,45.6155,41.3267,39.4066,51.4364,39.5943,41.2622,39.425,41.4498,39.372,41.3911,39.3265,5.237724,28.0,1.0,0.0,69.2005089,2255.76056
tfim_nomeas_beta_0.95172414.out,nomeas,0.951724,1000000,10000000,1000,100,50,48.1112,48.0943,48.1498,48.1582,48.0836,47.9503,47.8349,47.9233,47.843,47.8865,47.9557,48.072,48.1552,47.7386,48.0525,48.3035,48.0371,47.9583,48.1935,47.9746,48.564,47.8961,48.2149,48.1144,48.4829,48.0291,47.8582,47.9515,48.2975,48.0281,48.1612,48.0977,48.3508,48.1212,47.9033,48.4323,48.0788,71.5387,47.9914,48.2104,43.7977,41.7997,67.8015,41.3804,44.0378,41.5561,43.9531,41.6801,43.9938,41.5841,5.60602,28.0,1.0,0.0,71.5402777,2398.38255
tfim_nomeas_beta_1.01724138.out,nomeas,1.01724,1000000,10000000,1000,100,50,51.6234,51.5399,51.5828,51.4464,51.4601,51.4373,51.4205,51.4233,51.5429,51.2899,51.3866,51.376,51.5767,51.2602,51.7229,51.4713,51.5515,51.136,51.4014,51.5621,51.1746,51.5481,51.5869,69.9381,51.6761,51.7919,51.6233,51.9761,51.6868,51.3817,51.5739,51.5664,61.9784,51.5736,51.6343,51.2995,51.5814,51.3201,54.483,51.4052,46.883,44.7967,46.8225,61.9924,47.3041,44.608,47.1578,44.4156,47.0499,44.6159,5.953128,28.0,1.0,0.0,69.9397261,2567.65624
tfim_nomeas_beta_1.08275862.out,nomeas,1.08276,1000000,10000000,1000,100,50,54.5538,54.1059,54.0921,54.2777,54.0297,54.0984,54.1569,54.2713,71.3013,83.7203,54.3801,54.1498,54.2943,54.1587,67.6625,54.3266,54.4403,54.4236,54.3854,54.4568,54.1006,54.1491,77.451,54.5422,54.1982,58.1628,54.0301,54.3387,54.146,55.0314,54.2596,54.4431,54.3663,54.5089,54.1013,54.305,72.6028,54.186,54.11,54.679,49.4584,47.3292,49.2515,47.2267,49.3567,47.2715,49.6952,47.211,49.5092,47.2043,6.316028,30.0,1.0,0.0,83.7217813,2760.51144
tfim_nomeas_beta_1.14827586.out,nomeas,1.14828,1000000,10000000,1000,100,50,57.1532,75.2621,57.0394,57.095,57.4896,56.9193,66.0127,57.1083,88.1144,56.9252,57.2978,66.1085,56.9483,57.0414,57.2339,57.1806,87.0679,83.7574,57.2478,57.1133,56.8344,57.4105,57.0136,73.9169,57.1095,56.8949,57.0783,56.9331,57.0525,57.098,57.1006,57.4038,57.3182,57.411,57.2101,57.1483,57.1809,57.0451,57.0828,57.3108,52.0762,49.6304,51.9643,69.9952,76.8294,49.6574,56.6542,49.5543,52.1934,49.5301,6.686624,32.0,1.0,0.0,88.1159591,2983.75407
tfim_nomeas_beta_1.2137931.out,nomeas,1.21379,1000000,10000000,1000,100,50,60.0536,60.6026,60.5602,60.2001,63.4412,60.3941,60.1124,60.3708,92.6256,60.1631,60.3507,60.0644,65.0674,61.0997,70.9745,88.0637,60.0922,89.3577,64.3313,60.3461,60.3925,60.3635,60.5916,78.2588,60.5013,59.9674,60.3016,68.3366,60.317,60.0795,61.7664,68.9879,92.2771,60.6678,60.1328,60.17,63.3733,82.1924,84.2318,63.8968,58.521,77.5707,64.7709,52.3432,54.8477,66.0242,54.8738,55.573,82.5188,52.4055,7.048952,32.0,1.0,0.0,92.6271548,3264.52618
tfim_nomeas_beta_1.27931034.out,nomeas,1.27931,1000000,10000000,1000,100,50,64.0605,84.6586,63.7611,81.8196,63.524,63.5522,73.6497,63.4393,81.5636,91.41,79.9233,93.2751,79.5528,95.3723,67.8801,93.3744,97.5686,72.2862,69.68,66.3536,76.1074,63.614,94.9145,63.5974,75.9904,88.6197,68.2329,63.6624,85.0595,87.8294,86.5174,66.354,83.931,77.301,83.9366,86.9273,96.0896,63.5566,63.843,82.8349,61.0799,84.5018,57.381,66.559,61.4403,55.1257,61.738,78.4063,57.4173,78.2855,7.425536,32.0,1.0,0.0,97.5702287,3767.55876
tfim_nomeas_beta_1.34482759.out,nomeas,1.34483,1000000,10000000,1000,100,50,83.498,65.9196,93.88,94.0868,79.3611,99.8627,100.285,97.7463,80.1497,96.8539,66.5333,66.0537,66.1473,95.8435,95.314,96.3755,97.7921,65.7708,66.2438,94.7551,88.421,90.6921,84.4378,88.3696,73.1021,96.4322,96.6235,86.6142,66.0724,65.944,72.0411,100.741,99.8834,99.6089,84.0886,85.6608,82.4431,92.2572,90.241,88.0595,77.2937,84.0403,73.0881,86.2222,79.8068,79.0136,68.6216,76.1784,86.6665,57.5784,7.798484,32.0,1.0,0.0,100.742544,4202.71441
